Site,Day,Date,StartTime,EndTime,Amount
57.143297,-2.102138,23/05/2019,01:45,02:00,32
57.143297,-2.102138,23/05/2019,02:00,02:15,20
57.143297,-2.102138,23/05/2019,02:15,02:30,8
57.143297,-2.102138,23/05/2019,02:30,02:45,28
57.143297,-2.102138,23/05/2019,02:45,03:00,32
57.143297,-2.102138,23/05/2019,03:00,03:15,8
57.143297,-2.102138,23/05/2019,03:15,03:30,0
57.143297,-2.102138,23/05/2019,03:30,03:45,4
57.143297,-2.102138,23/05/2019,03:45,04:00,12
57.143297,-2.102138,23/05/2019,04:00,04:15,20
57.143297,-2.102138,23/05/2019,04:15,04:30,12
57.143297,-2.102138,23/05/2019,04:30,04:45,8
57.143297,-2.102138,23/05/2019,04:45,05:00,8
57.143297,-2.102138,23/05/2019,05:00,05:15,16
57.143297,-2.102138,23/05/2019,05:15,05:30,16
57.143297,-2.102138,23/05/2019,05:30,05:45,24
57.143297,-2.102138,23/05/2019,05:45,06:00,24
57.143297,-2.102138,23/05/2019,06:00,06:15,40
57.143297,-2.102138,23/05/2019,06:15,06:30,60
57.143297,-2.102138,23/05/2019,06:30,06:45,64
57.143297,-2.102138,23/05/2019,06:45,07:00,76
57.143297,-2.102138,23/05/2019,07:00,07:15,76
57.143297,-2.102138,23/05/2019,07:15,07:30,88
57.143297,-2.102138,23/05/2019,07:30,07:45,60
57.143297,-2.102138,23/05/2019,07:45,08:00,100
57.143297,-2.102138,23/05/2019,08:00,08:15,128
57.143297,-2.102138,23/05/2019,08:15,08:30,76
57.143297,-2.102138,23/05/2019,08:30,08:45,88
57.143297,-2.102138,23/05/2019,08:45,09:00,104
57.143297,-2.102138,23/05/2019,09:00,09:15,92
57.143297,-2.102138,23/05/2019,09:15,09:30,76
57.143297,-2.102138,23/05/2019,09:30,09:45,128
57.143297,-2.102138,23/05/2019,09:45,10:00,156
57.143297,-2.102138,23/05/2019,10:00,10:15,108
57.143297,-2.102138,23/05/2019,10:15,10:30,64
57.143297,-2.102138,23/05/2019,10:30,10:45,88
57.143297,-2.102138,23/05/2019,10:45,11:00,80
57.143297,-2.102138,23/05/2019,11:00,11:15,88
57.143297,-2.102138,23/05/2019,11:15,11:30,72
57.143297,-2.102138,23/05/2019,11:30,11:45,56
57.143297,-2.102138,23/05/2019,11:45,12:00,64
57.143297,-2.102138,23/05/2019,12:00,12:15,76
57.143297,-2.102138,23/05/2019,12:15,12:30,64
57.143297,-2.102138,23/05/2019,12:30,12:45,72
57.143297,-2.102138,23/05/2019,12:45,13:00,92
57.143297,-2.102138,23/05/2019,13:00,13:15,108
57.143297,-2.102138,23/05/2019,13:15,13:30,80
57.143297,-2.102138,23/05/2019,13:30,13:45,88
57.143297,-2.102138,23/05/2019,13:45,14:00,60
57.143297,-2.102138,23/05/2019,14:00,14:15,84
57.143297,-2.102138,23/05/2019,14:15,14:30,84
57.143297,-2.102138,23/05/2019,14:30,14:45,100
57.143297,-2.102138,23/05/2019,14:45,15:00,96
57.143297,-2.102138,23/05/2019,15:00,15:15,72
57.143297,-2.102138,23/05/2019,15:15,15:30,96
57.143297,-2.102138,23/05/2019,15:30,15:45,128
57.143297,-2.102138,23/05/2019,15:45,16:00,96
57.143297,-2.102138,23/05/2019,16:00,16:15,72
57.143297,-2.102138,23/05/2019,16:15,16:30,80
57.143297,-2.102138,23/05/2019,16:30,16:45,108
57.143297,-2.102138,23/05/2019,16:45,17:00,72
57.143297,-2.102138,23/05/2019,17:00,17:15,104
57.143297,-2.102138,23/05/2019,17:15,17:30,96
57.143297,-2.102138,23/05/2019,17:30,17:45,76
57.143297,-2.102138,23/05/2019,17:45,18:00,40
57.143297,-2.102138,23/05/2019,18:00,18:15,68
57.143297,-2.102138,23/05/2019,18:15,18:30,72
57.143297,-2.102138,23/05/2019,18:30,18:45,48
57.143297,-2.102138,23/05/2019,18:45,19:00,36
57.143297,-2.102138,23/05/2019,19:00,19:15,92
57.143297,-2.102138,23/05/2019,19:15,19:30,68
57.143297,-2.102138,23/05/2019,19:30,19:45,92
57.143297,-2.102138,23/05/2019,19:45,20:00,76
57.143297,-2.102138,23/05/2019,20:00,20:15,96
57.143297,-2.102138,23/05/2019,20:15,20:30,64
57.143297,-2.102138,23/05/2019,20:30,20:45,76
57.143297,-2.102138,23/05/2019,20:45,21:00,56
57.143297,-2.102138,23/05/2019,21:00,21:15,68
57.143297,-2.102138,23/05/2019,21:15,21:30,32
57.143297,-2.102138,23/05/2019,21:30,21:45,40
57.143297,-2.102138,23/05/2019,21:45,22:00,44
57.143297,-2.102138,23/05/2019,22:00,22:15,56
57.143297,-2.102138,23/05/2019,22:15,22:30,44
57.143297,-2.102138,23/05/2019,22:30,22:45,60
57.143297,-2.102138,23/05/2019,22:45,23:00,48
57.143297,-2.102138,23/05/2019,23:00,23:15,52
57.143297,-2.102138,23/05/2019,23:15,23:30,44
57.143297,-2.102138,23/05/2019,23:30,23:45,44
57.143297,-2.102138,23/05/2019,23:45,24:00:00,40
57.143297,-2.102138,24/05/2019,00:00,00:15,56
57.143297,-2.102138,24/05/2019,00:15,00:30,136
57.143297,-2.102138,24/05/2019,00:30,00:45,132
57.143297,-2.102138,24/05/2019,00:45,01:00,76
57.143297,-2.102138,24/05/2019,01:00,01:15,44
57.143297,-2.102138,24/05/2019,01:15,01:30,0
57.143297,-2.102138,24/05/2019,01:30,01:45,36
57.143297,-2.102138,24/05/2019,01:45,02:00,64
57.143297,-2.102138,24/05/2019,02:00,02:15,72
57.143297,-2.102138,24/05/2019,02:15,02:30,16
57.143297,-2.102138,24/05/2019,02:30,02:45,28
57.143297,-2.102138,24/05/2019,02:45,03:00,28
57.143297,-2.102138,24/05/2019,03:00,03:15,16
57.143297,-2.102138,24/05/2019,03:15,03:30,20
57.143297,-2.102138,24/05/2019,03:30,03:45,8
57.143297,-2.102138,24/05/2019,03:45,04:00,8
57.143297,-2.102138,24/05/2019,04:00,04:15,12
57.143297,-2.102138,24/05/2019,04:15,04:30,8
57.143297,-2.102138,24/05/2019,04:30,04:45,4
57.143297,-2.102138,24/05/2019,04:45,05:00,20
57.143297,-2.102138,24/05/2019,05:00,05:15,8
57.143297,-2.102138,24/05/2019,05:15,05:30,28
57.143297,-2.102138,24/05/2019,05:30,05:45,28
57.143297,-2.102138,24/05/2019,05:45,06:00,40
57.143297,-2.102138,24/05/2019,06:00,06:15,48
57.143297,-2.102138,24/05/2019,06:15,06:30,28
57.143297,-2.102138,24/05/2019,06:30,06:45,80
57.143297,-2.102138,24/05/2019,06:45,07:00,76
57.143297,-2.102138,24/05/2019,07:00,07:15,80
57.143297,-2.102138,24/05/2019,07:15,07:30,48
57.143297,-2.102138,24/05/2019,07:30,07:45,68
57.143297,-2.102138,24/05/2019,07:45,08:00,84
57.143297,-2.102138,24/05/2019,08:00,08:15,116
57.143297,-2.102138,24/05/2019,08:15,08:30,104
57.143297,-2.102138,24/05/2019,08:30,08:45,60
57.143297,-2.102138,24/05/2019,08:45,09:00,92
57.143297,-2.102138,24/05/2019,09:00,09:15,96
57.143297,-2.102138,24/05/2019,09:15,09:30,104
57.143297,-2.102138,24/05/2019,09:30,09:45,80
57.143297,-2.102138,24/05/2019,09:45,10:00,68
57.143297,-2.102138,24/05/2019,10:00,10:15,92
57.143297,-2.102138,24/05/2019,10:15,10:30,84
57.143297,-2.102138,24/05/2019,10:30,10:45,72
57.143297,-2.102138,24/05/2019,10:45,11:00,92
57.143297,-2.102138,24/05/2019,11:00,11:15,100
57.143297,-2.102138,24/05/2019,11:15,11:30,68
57.143297,-2.102138,24/05/2019,11:30,11:45,112
57.143297,-2.102138,24/05/2019,11:45,12:00,96
57.143297,-2.102138,24/05/2019,12:00,12:15,80
57.143297,-2.102138,24/05/2019,12:15,12:30,32
57.143297,-2.102138,24/05/2019,12:30,12:45,124
57.143297,-2.102138,24/05/2019,12:45,13:00,108
57.143297,-2.102138,24/05/2019,13:00,13:15,96
57.143297,-2.102138,24/05/2019,13:15,13:30,72
57.143297,-2.102138,24/05/2019,13:30,13:45,108
57.143297,-2.102138,24/05/2019,13:45,14:00,108
57.143297,-2.102138,24/05/2019,14:00,14:15,72
57.143297,-2.102138,24/05/2019,14:15,14:30,68
57.143297,-2.102138,24/05/2019,14:30,14:45,76
57.143297,-2.102138,24/05/2019,14:45,15:00,96
57.143297,-2.102138,24/05/2019,15:00,15:15,68
57.143297,-2.102138,24/05/2019,15:15,15:30,76
57.143297,-2.102138,24/05/2019,15:30,15:45,68
57.143297,-2.102138,24/05/2019,15:45,16:00,76
57.143297,-2.102138,24/05/2019,16:00,16:15,108
57.143297,-2.102138,24/05/2019,16:15,16:30,96
57.143297,-2.102138,24/05/2019,16:30,16:45,104
57.143297,-2.102138,24/05/2019,16:45,17:00,88
57.143297,-2.102138,24/05/2019,17:00,17:15,64
57.143297,-2.102138,24/05/2019,17:15,17:30,120
57.143297,-2.102138,24/05/2019,17:30,17:45,68
57.143297,-2.102138,24/05/2019,17:45,18:00,84
57.143297,-2.102138,24/05/2019,18:00,18:15,100
57.143297,-2.102138,24/05/2019,18:15,18:30,60
57.143297,-2.102138,24/05/2019,18:30,18:45,88
57.143297,-2.102138,24/05/2019,18:45,19:00,92
57.143297,-2.102138,24/05/2019,19:00,19:15,64
57.143297,-2.102138,24/05/2019,19:15,19:30,48
57.143297,-2.102138,24/05/2019,19:30,19:45,64
57.143297,-2.102138,24/05/2019,19:45,20:00,68
57.143297,-2.102138,24/05/2019,20:00,20:15,100
57.143297,-2.102138,24/05/2019,20:15,20:30,96
57.143297,-2.102138,24/05/2019,20:30,20:45,100
57.143297,-2.102138,24/05/2019,20:45,21:00,64
57.143297,-2.102138,24/05/2019,21:00,21:15,60
57.143297,-2.102138,24/05/2019,21:15,21:30,84
57.143297,-2.102138,24/05/2019,21:30,21:45,60
57.143297,-2.102138,24/05/2019,21:45,22:00,28
57.143297,-2.102138,24/05/2019,22:00,22:15,68
57.143297,-2.102138,24/05/2019,22:15,22:30,40
57.143297,-2.102138,24/05/2019,22:30,22:45,36
57.143297,-2.102138,24/05/2019,22:45,23:00,48
57.143297,-2.102138,24/05/2019,23:00,23:15,60
57.143297,-2.102138,24/05/2019,23:15,23:30,48
57.143297,-2.102138,24/05/2019,23:30,23:45,68
57.143297,-2.102138,24/05/2019,23:45,24:00:00,64
57.143297,-2.102138,25/05/2019,00:00,00:15,36
57.143297,-2.102138,25/05/2019,00:15,00:30,64
57.143297,-2.102138,25/05/2019,00:30,00:45,80
57.143297,-2.102138,25/05/2019,00:45,01:00,60
57.143297,-2.102138,25/05/2019,01:00,01:15,44
57.143297,-2.102138,25/05/2019,01:15,01:30,56
57.143297,-2.102138,25/05/2019,01:30,01:45,68
57.143297,-2.102138,25/05/2019,01:45,02:00,36
57.143297,-2.102138,25/05/2019,02:00,02:15,40
57.143297,-2.102138,25/05/2019,02:15,02:30,16
57.143297,-2.102138,25/05/2019,02:30,02:45,24
57.143297,-2.102138,25/05/2019,02:45,03:00,32
57.143297,-2.102138,25/05/2019,03:00,03:15,52
57.143297,-2.102138,25/05/2019,03:15,03:30,44
57.143297,-2.102138,25/05/2019,03:30,03:45,12
57.143297,-2.102138,25/05/2019,03:45,04:00,20
57.143297,-2.102138,25/05/2019,04:00,04:15,32
57.143297,-2.102138,25/05/2019,04:15,04:30,20
57.143297,-2.102138,25/05/2019,04:30,04:45,8
57.143297,-2.102138,25/05/2019,04:45,05:00,44
57.143297,-2.102138,25/05/2019,05:00,05:15,12
57.143297,-2.102138,25/05/2019,05:15,05:30,24
57.143297,-2.102138,25/05/2019,05:30,05:45,24
57.143297,-2.102138,25/05/2019,05:45,06:00,32
57.143297,-2.102138,25/05/2019,06:00,06:15,28
57.143297,-2.102138,25/05/2019,06:15,06:30,12
57.143297,-2.102138,25/05/2019,06:30,06:45,28
57.143297,-2.102138,25/05/2019,06:45,07:00,36
57.143297,-2.102138,25/05/2019,07:00,07:15,20
57.143297,-2.102138,25/05/2019,07:15,07:30,44
57.143297,-2.102138,25/05/2019,07:30,07:45,32
57.143297,-2.102138,25/05/2019,07:45,08:00,40
57.143297,-2.102138,25/05/2019,08:00,08:15,28
57.143297,-2.102138,25/05/2019,08:15,08:30,48
57.143297,-2.102138,25/05/2019,08:30,08:45,68
57.143297,-2.102138,25/05/2019,08:45,09:00,40
57.143297,-2.102138,25/05/2019,09:00,09:15,32
57.143297,-2.102138,25/05/2019,09:15,09:30,72
57.143297,-2.102138,25/05/2019,09:30,09:45,56
57.143297,-2.102138,25/05/2019,09:45,10:00,44
57.143297,-2.102138,25/05/2019,10:00,10:15,0
57.143297,-2.102138,25/05/2019,10:15,10:30,0
57.143297,-2.102138,25/05/2019,10:30,10:45,32
57.143297,-2.102138,25/05/2019,10:45,11:00,72
57.143297,-2.102138,25/05/2019,11:00,11:15,52
57.143297,-2.102138,25/05/2019,11:15,11:30,44
57.143297,-2.102138,25/05/2019,11:30,11:45,48
57.143297,-2.102138,25/05/2019,11:45,12:00,44
57.143297,-2.102138,25/05/2019,12:00,12:15,48
57.143297,-2.102138,25/05/2019,12:15,12:30,68
57.143297,-2.102138,25/05/2019,12:30,12:45,96
57.143297,-2.102138,25/05/2019,12:45,13:00,84
57.143297,-2.102138,25/05/2019,13:00,13:15,84
57.143297,-2.102138,25/05/2019,13:15,13:30,44
57.143297,-2.102138,25/05/2019,13:30,13:45,92
57.143297,-2.102138,25/05/2019,13:45,14:00,68
57.143297,-2.102138,25/05/2019,14:00,14:15,56
57.143297,-2.102138,25/05/2019,14:15,14:30,84
57.143297,-2.102138,25/05/2019,14:30,14:45,120
57.143297,-2.102138,25/05/2019,14:45,15:00,104
57.143297,-2.102138,25/05/2019,15:00,15:15,60
57.143297,-2.102138,25/05/2019,15:15,15:30,92
57.143297,-2.102138,25/05/2019,15:30,15:45,68
57.143297,-2.102138,25/05/2019,15:45,16:00,88
57.143297,-2.102138,25/05/2019,16:00,16:15,88
57.143297,-2.102138,25/05/2019,16:15,16:30,96
57.143297,-2.102138,25/05/2019,16:30,16:45,96
57.143297,-2.102138,25/05/2019,16:45,17:00,120
57.143297,-2.102138,25/05/2019,17:00,17:15,100
57.143297,-2.102138,25/05/2019,17:15,17:30,92
57.143297,-2.102138,25/05/2019,17:30,17:45,64
57.143297,-2.102138,25/05/2019,17:45,18:00,92
57.143297,-2.102138,25/05/2019,18:00,18:15,80
57.143297,-2.102138,25/05/2019,18:15,18:30,52
57.143297,-2.102138,25/05/2019,18:30,18:45,96
57.143297,-2.102138,25/05/2019,18:45,19:00,60
57.143297,-2.102138,25/05/2019,19:00,19:15,36
57.143297,-2.102138,25/05/2019,19:15,19:30,52
57.143297,-2.102138,25/05/2019,19:30,19:45,60
57.143297,-2.102138,25/05/2019,19:45,20:00,44
57.143297,-2.102138,25/05/2019,20:00,20:15,68
57.143297,-2.102138,25/05/2019,20:15,20:30,44
57.143297,-2.102138,25/05/2019,20:30,20:45,60
57.143297,-2.102138,25/05/2019,20:45,21:00,88
57.143297,-2.102138,25/05/2019,21:00,21:15,60
57.143297,-2.102138,25/05/2019,21:15,21:30,44
57.143297,-2.102138,25/05/2019,21:30,21:45,60
57.143297,-2.102138,25/05/2019,21:45,22:00,60
57.143297,-2.102138,25/05/2019,22:00,22:15,68
57.143297,-2.102138,25/05/2019,22:15,22:30,48
57.143297,-2.102138,25/05/2019,22:30,22:45,56
57.143297,-2.102138,25/05/2019,22:45,23:00,64
57.143297,-2.102138,25/05/2019,23:00,23:15,28
57.143297,-2.102138,25/05/2019,23:15,23:30,64
57.143297,-2.102138,25/05/2019,23:30,23:45,36
57.143297,-2.102138,25/05/2019,23:45,24:00:00,20
57.143297,-2.102138,26/05/2019,00:00,00:15,60
57.143297,-2.102138,26/05/2019,00:15,00:30,36
57.143297,-2.102138,26/05/2019,00:30,00:45,56
57.143297,-2.102138,26/05/2019,00:45,01:00,52
57.143297,-2.102138,26/05/2019,01:00,01:15,44
57.143297,-2.102138,26/05/2019,01:15,01:30,36
57.143297,-2.102138,26/05/2019,01:30,01:45,24
57.143297,-2.102138,26/05/2019,01:45,02:00,32
57.143297,-2.102138,26/05/2019,02:00,02:15,28
57.143297,-2.102138,26/05/2019,02:15,02:30,64
57.143297,-2.102138,26/05/2019,02:30,02:45,16
57.143297,-2.102138,26/05/2019,02:45,03:00,48
57.143297,-2.102138,26/05/2019,03:00,03:15,32
57.143297,-2.102138,26/05/2019,03:15,03:30,24
57.143297,-2.102138,26/05/2019,03:30,03:45,32
57.143297,-2.102138,26/05/2019,03:45,04:00,64
57.143297,-2.102138,26/05/2019,04:00,04:15,36
57.143297,-2.102138,26/05/2019,04:15,04:30,52
57.143297,-2.102138,26/05/2019,04:30,04:45,24
57.143297,-2.102138,26/05/2019,04:45,05:00,16
57.143297,-2.102138,26/05/2019,05:00,05:15,36
57.143297,-2.102138,26/05/2019,05:15,05:30,16
57.143297,-2.102138,26/05/2019,05:30,05:45,16
57.143297,-2.102138,26/05/2019,05:45,06:00,36
57.143297,-2.102138,26/05/2019,06:00,06:15,32
57.143297,-2.102138,26/05/2019,06:15,06:30,8
57.143297,-2.102138,26/05/2019,06:30,06:45,24
57.143297,-2.102138,26/05/2019,06:45,07:00,32
57.143297,-2.102138,26/05/2019,07:00,07:15,20
57.143297,-2.102138,26/05/2019,07:15,07:30,8
57.143297,-2.102138,26/05/2019,07:30,07:45,24
57.143297,-2.102138,26/05/2019,07:45,08:00,28
57.143297,-2.102138,26/05/2019,08:00,08:15,40
57.143297,-2.102138,26/05/2019,08:15,08:30,8
57.143297,-2.102138,26/05/2019,08:30,08:45,36
57.143297,-2.102138,26/05/2019,08:45,09:00,56
57.143297,-2.102138,26/05/2019,09:00,09:15,36
57.143297,-2.102138,26/05/2019,09:15,09:30,36
57.143297,-2.102138,26/05/2019,09:30,09:45,64
57.143297,-2.102138,26/05/2019,09:45,10:00,36
57.143297,-2.102138,26/05/2019,10:00,10:15,56
57.143297,-2.102138,26/05/2019,10:15,10:30,64
57.143297,-2.102138,26/05/2019,10:30,10:45,52
57.143297,-2.102138,26/05/2019,10:45,11:00,72
57.143297,-2.102138,26/05/2019,11:00,11:15,48
57.143297,-2.102138,26/05/2019,11:15,11:30,80
57.143297,-2.102138,26/05/2019,11:30,11:45,76
57.143297,-2.102138,26/05/2019,11:45,12:00,68
57.143297,-2.102138,26/05/2019,12:00,12:15,68
57.143297,-2.102138,26/05/2019,12:15,12:30,44
57.143297,-2.102138,26/05/2019,12:30,12:45,56
57.143297,-2.102138,26/05/2019,12:45,13:00,44
57.143297,-2.102138,26/05/2019,13:00,13:15,40
57.143297,-2.102138,26/05/2019,13:15,13:30,56
57.143297,-2.102138,26/05/2019,13:30,13:45,52
57.143297,-2.102138,26/05/2019,13:45,14:00,56
57.143297,-2.102138,26/05/2019,14:00,14:15,48
57.143297,-2.102138,26/05/2019,14:15,14:30,52
57.143297,-2.102138,26/05/2019,14:30,14:45,60
57.143297,-2.102138,26/05/2019,14:45,15:00,100
57.143297,-2.102138,26/05/2019,15:00,15:15,56
57.143297,-2.102138,26/05/2019,15:15,15:30,72
57.143297,-2.102138,26/05/2019,15:30,15:45,64
57.143297,-2.102138,26/05/2019,15:45,16:00,44
57.143297,-2.102138,26/05/2019,16:00,16:15,60
57.143297,-2.102138,26/05/2019,16:15,16:30,28
57.143297,-2.102138,26/05/2019,16:30,16:45,52
57.143297,-2.102138,26/05/2019,16:45,17:00,44
57.143297,-2.102138,26/05/2019,17:00,17:15,52
57.143297,-2.102138,26/05/2019,17:15,17:30,56
57.143297,-2.102138,26/05/2019,17:30,17:45,32
57.143297,-2.102138,26/05/2019,17:45,18:00,64
57.143297,-2.102138,26/05/2019,18:00,18:15,56
57.143297,-2.102138,26/05/2019,18:15,18:30,32
57.143297,-2.102138,26/05/2019,18:30,18:45,44
57.143297,-2.102138,26/05/2019,18:45,19:00,44
57.143297,-2.102138,26/05/2019,19:00,19:15,48
57.143297,-2.102138,26/05/2019,19:15,19:30,68
57.143297,-2.102138,26/05/2019,19:30,19:45,60
57.143297,-2.102138,26/05/2019,19:45,20:00,60
57.143297,-2.102138,26/05/2019,20:00,20:15,68
57.143297,-2.102138,26/05/2019,20:15,20:30,44
57.143297,-2.102138,26/05/2019,20:30,20:45,48
57.143297,-2.102138,26/05/2019,20:45,21:00,44
57.143297,-2.102138,26/05/2019,21:00,21:15,32
57.143297,-2.102138,26/05/2019,21:15,21:30,28
57.143297,-2.102138,26/05/2019,21:30,21:45,80
57.143297,-2.102138,26/05/2019,21:45,22:00,40
57.143297,-2.102138,26/05/2019,22:00,22:15,44
57.143297,-2.102138,26/05/2019,22:15,22:30,40
57.143297,-2.102138,26/05/2019,22:30,22:45,12
57.143297,-2.102138,26/05/2019,22:45,23:00,16
57.143297,-2.102138,26/05/2019,23:00,23:15,28
57.143297,-2.102138,26/05/2019,23:15,23:30,24
57.143297,-2.102138,26/05/2019,23:30,23:45,24
57.143297,-2.102138,26/05/2019,23:45,24:00:00,44
57.143297,-2.102138,27/05/2019,00:00,00:15,56
57.143297,-2.102138,27/05/2019,00:15,00:30,40
57.143297,-2.102138,27/05/2019,00:30,00:45,12
57.143297,-2.102138,27/05/2019,00:45,01:00,24
57.143297,-2.102138,27/05/2019,01:00,01:15,28
57.143297,-2.102138,27/05/2019,01:15,01:30,8
57.143297,-2.102138,27/05/2019,01:30,01:45,16
57.143297,-2.102138,27/05/2019,01:45,02:00,24
57.143297,-2.102138,27/05/2019,02:00,02:15,24
57.143297,-2.102138,27/05/2019,02:15,02:30,24
57.143297,-2.102138,27/05/2019,02:30,02:45,8
57.143297,-2.102138,27/05/2019,02:45,03:00,4
57.143297,-2.102138,27/05/2019,03:00,03:15,24
57.143297,-2.102138,27/05/2019,03:15,03:30,4
57.143297,-2.102138,27/05/2019,03:30,03:45,4
57.143297,-2.102138,27/05/2019,03:45,04:00,4
57.143297,-2.102138,27/05/2019,04:00,04:15,16
57.143297,-2.102138,27/05/2019,04:15,04:30,8
57.143297,-2.102138,27/05/2019,04:30,04:45,12
57.143297,-2.102138,27/05/2019,04:45,05:00,4
57.143297,-2.102138,27/05/2019,05:00,05:15,12
57.143297,-2.102138,27/05/2019,05:15,05:30,20
57.143297,-2.102138,27/05/2019,05:30,05:45,20
57.143297,-2.102138,27/05/2019,05:45,06:00,28
57.143297,-2.102138,27/05/2019,06:00,06:15,20
57.143297,-2.102138,27/05/2019,06:15,06:30,20
57.143297,-2.102138,27/05/2019,06:30,06:45,100
57.143297,-2.102138,27/05/2019,06:45,07:00,48
57.143297,-2.102138,27/05/2019,07:00,07:15,64
57.143297,-2.102138,27/05/2019,07:15,07:30,64
57.143297,-2.102138,27/05/2019,07:30,07:45,84
57.143297,-2.102138,27/05/2019,07:45,08:00,112
57.143297,-2.102138,27/05/2019,08:00,08:15,92
57.143297,-2.102138,27/05/2019,08:15,08:30,88
57.143297,-2.102138,27/05/2019,08:30,08:45,80
57.143297,-2.102138,27/05/2019,08:45,09:00,76
57.143297,-2.102138,27/05/2019,09:00,09:15,76
57.143297,-2.102138,27/05/2019,09:15,09:30,72
57.143297,-2.102138,27/05/2019,09:30,09:45,72
57.143297,-2.102138,27/05/2019,09:45,10:00,92
57.143297,-2.102138,27/05/2019,10:00,10:15,92
57.143297,-2.102138,27/05/2019,10:15,10:30,76
57.143297,-2.102138,27/05/2019,10:30,10:45,124
57.143297,-2.102138,27/05/2019,10:45,11:00,100
57.143297,-2.102138,27/05/2019,11:00,11:15,100
57.143297,-2.102138,27/05/2019,11:15,11:30,76
57.143297,-2.102138,27/05/2019,11:30,11:45,60
57.143297,-2.102138,27/05/2019,11:45,12:00,44
57.143297,-2.102138,27/05/2019,12:00,12:15,92
57.143297,-2.102138,27/05/2019,12:15,12:30,92
57.143297,-2.102138,27/05/2019,12:30,12:45,96
57.143297,-2.102138,27/05/2019,12:45,13:00,76
57.143297,-2.102138,27/05/2019,13:00,13:15,60
57.143297,-2.102138,27/05/2019,13:15,13:30,60
57.143297,-2.102138,27/05/2019,13:30,13:45,64
57.143297,-2.102138,27/05/2019,13:45,14:00,100
57.143297,-2.102138,27/05/2019,14:00,14:15,108
57.143297,-2.102138,27/05/2019,14:15,14:30,48
57.143297,-2.102138,27/05/2019,14:30,14:45,100
57.143297,-2.102138,27/05/2019,14:45,15:00,84
57.143297,-2.102138,27/05/2019,15:00,15:15,96
57.143297,-2.102138,27/05/2019,15:15,15:30,112
57.143297,-2.102138,27/05/2019,15:30,15:45,80
57.143297,-2.102138,27/05/2019,15:45,16:00,100
57.143297,-2.102138,27/05/2019,16:00,16:15,112
57.143297,-2.102138,27/05/2019,16:15,16:30,92
57.143297,-2.102138,27/05/2019,16:30,16:45,80
57.143297,-2.102138,27/05/2019,16:45,17:00,72
57.143297,-2.102138,27/05/2019,17:00,17:15,100
57.143297,-2.102138,27/05/2019,17:15,17:30,72
57.143297,-2.102138,27/05/2019,17:30,17:45,72
57.143297,-2.102138,27/05/2019,17:45,18:00,72
57.143297,-2.102138,27/05/2019,18:00,18:15,52
57.143297,-2.102138,27/05/2019,18:15,18:30,64
57.143297,-2.102138,27/05/2019,18:30,18:45,52
57.143297,-2.102138,27/05/2019,18:45,19:00,76
57.143297,-2.102138,27/05/2019,19:00,19:15,44
57.143297,-2.102138,27/05/2019,19:15,19:30,44
57.143297,-2.102138,27/05/2019,19:30,19:45,56
57.143297,-2.102138,27/05/2019,19:45,20:00,88
57.143297,-2.102138,27/05/2019,20:00,20:15,44
57.143297,-2.102138,27/05/2019,20:15,20:30,72
57.143297,-2.102138,27/05/2019,20:30,20:45,32
57.143297,-2.102138,27/05/2019,20:45,21:00,52
57.143297,-2.102138,27/05/2019,21:00,21:15,40
57.143297,-2.102138,27/05/2019,21:15,21:30,32
57.143297,-2.102138,27/05/2019,21:30,21:45,64
57.143297,-2.102138,27/05/2019,21:45,22:00,48
57.143297,-2.102138,27/05/2019,22:00,22:15,48
57.143297,-2.102138,27/05/2019,22:15,22:30,24
57.143297,-2.102138,27/05/2019,22:30,22:45,76
57.143297,-2.102138,27/05/2019,22:45,23:00,40
57.143297,-2.102138,27/05/2019,23:00,23:15,40
57.143297,-2.102138,27/05/2019,23:15,23:30,24
57.143297,-2.102138,27/05/2019,23:30,23:45,24
57.143297,-2.102138,27/05/2019,23:45,24:00:00,36
57.143297,-2.102138,28/05/2019,00:00,00:15,24
57.143297,-2.102138,28/05/2019,00:15,00:30,28
57.143297,-2.102138,28/05/2019,00:30,00:45,16
57.143297,-2.102138,28/05/2019,00:45,01:00,16
57.143297,-2.102138,28/05/2019,01:00,01:15,16
57.143297,-2.102138,28/05/2019,01:15,01:30,12
